"sit_ID";"site";"site_type";"loc_ID";"loc"
94;"First Presbyterian Church";"";50;"New Orleans, LA"
95;"Church on Joy Street";"";28;"Boston, MA"
96;"Alabama State Capitol";"";52;"Montgomery, AL"
97;"First Congretional Church";"";138;"Leavenworth, KS"
98;"Colored Presbyterian Church of Philadelphia";"";16;"Philadelphia, PA"
99;"Avery College";"";142;"Allegheny City, PA"
100;"Methodist Episcopal Sharp Street Church";"";77;"Baltimore, MD"
101;"Church at Broad and Brandywine Streets";"";16;"Philadelphia, PA"
102;"Georgia State Capitol";"";19;"Atlanta, GA"
103;"Steinway Hall";"";2;"New York City, NY"
104;"Concert Hall";"";16;"Philadelphia, PA"
105;"Oberlin College";"";134;"Oberlin, OH"
106;"Union Church";"";16;"Philadelphia, PA"
107;"Tennessee State Capitol";"";18;"Nashville, TN"
108;"Methodist Episcopal Church";"";152;"Ocean Grove, NJ"
109;"Opera House";"";153;"Burlington, IA"
110;"Plymouth Church";"";2;"New York City, NY"
111;"First Church of Christ, Scientist";"";28;"Boston, MA"
112;"Statue of Liberty";"";2;"New York City, NY"
113;"Delmonico's Restaurant";"";2;"New York City, NY"
114;"Lyric Hall";"";2;"New York City, NY"
115;"Wilberforce University";"";156;"Wilberforce, OH"
116;"Armory of Battery D";"";10;"Chicago, IL"
117;"Delmonico's";"";2;"New York City, NY"
118;"African Methodist Episcopal Church";"";147;"Jersey City, NJ"
119;"First Congregational Church";"";13;"Washington, D.C."
120;"Memorial Hall";"";160;"Toldeo, OH"
121;"Grand Central Palace";"";2;"New York City, NY"
122;"White House";"";13;"Washington, D.C."
123;"Metropolitan AME Church";"";13;"Washington, D.C."
124;"Fifteenth Presbyterian Church";"";13;"Washington, D.C."
125;"Cooper Institute";"";2;"New York City, NY"
126;"State Capitol";"";165;"Charleston, WV"
127;"Benares Hindu University";"";168;"Varanasi, India"
128;"Fifteenth Street Presbyterian Church";"";13;"Washington, D.C."
129;"Miller's Hall";"";63;"Buffalo, NY"
130;"Home Market Club";"";10;"Chicago, IL"
131;"Parkview Palace";"";2;"New York City, NY"
132;"Liberty Hall";"";2;"New York City, NY"
133;"Livingstone College";"";172;"Salisbury, NC"
134;"Vassar College";"";140;"Poughkeepsie, NY"
135;"Park Theatre";"";2;"New York City, NY"
136;"71st Regiment Armory";"";2;"New York City, NY"
137;"Cook County Criminal Court";"";10;"Chicago, IL"
138;"Atlanta Federal Penitentiary";"";19;"Atlanta, GA"
139;"Court Street Baptist Church";"";173;"Lynchburg, VA"
140;"Court";"";72;"Detroit, MI"
141;"Battersea Town Hall";"";102;"London, England"
142;"Kingsley Hall";"";102;"London, England"
143;"Renaissance Casino";"";2;"New York City, NY"
144;"Windsor Castle";"";102;"London, England"
145;"Sportpalast";"";31;"Berlin, Germany"
146;"10 Downing Street";"";102;"London, England"
147;"Staraya Square";"";176;"Moscow, Russie"
148;"Reichstag";"";31;"Berlin, Germany"
149;"U.K. Parliament";"";102;"London, England"
150;"Buckingham Palace";"";102;"London, England"
151;"House of Commons";"";102;"London, England"
152;"House of England";"";102;"London, England"
153;"USS Missouri";"";182;"Tokyo Bay, Japan"
154;"Hotel Astor";"";2;"New York City, NY"
155;"Westminster College";"";184;"Fulton, MO"
156;"Lincoln Building";"";2;"New York City, NY"
157;"Federal Courthouse";"";2;"New York City, NY"
158;"El Capitan Theatre";"";26;"Los Angeles, CA"
159;"Palmer House";"";189;"Chicago, MA"
160;"Statler Hotel";"";13;"Washington, D.C."
161;"First Baptist Church of West Dallas";"";92;"Dallas, TX"
162;"Second Baptist Church";"";191;"Little Rock, AR"
163;"University of Arkansas, Fayetteville";"";192;"Fayetteville, AR"
164;"Williams Institutional CME Church";"";2;"New York City, NY"
165;"People's Community Church";"";72;"Detroit, MI"
166;"Supreme Court";"";13;"Washington, D.C."
167;"All Souls Unitarian Church";"";13;"Washington, D.C."
168;"University of Colorago";"";194;"CO"
169;"Antioch College";"";195;"Yellow Springs, OH"
170;"University Methodist Church";"";196;"Austin, TX"
171;"Maxwell Air Force Base";"";52;"Montgomery, AL"
172;"Grace Cathedral";"";4;"San Francisco, CA"
173;"State Department Auditorium";"";13;"Washington, D.C."
174;"Marsh Chapel";"";28;"Boston, MA"
175;"National Association of Broadcasters";"";13;"Washington, D.C."
176;"National Guard Armory";"";13;"Washington, D.C."
177;"Cornell University";"";197;"Ithaca, NY"
178;"United States Military Academy";"";198;"West Point, NY"
179;"Yale University";"";122;"New Haven, CT"
180;"Independence Hall";"";16;"Philadelphia, PA"
181;"Rice University";"";75;"Houston, TX"
182;"Ebenezer Baptist Church";"";19;"Atlanta, GA"
183;"Manhattan Center";"";2;"New York City, NY"
184;"Economic Club of New York";"";2;"New York City, NY"
185;"WNDT Station";"";2;"New York City, NY"
186;"Birmingham City Jail";"";29;"Birmingham, AL"
187;"Sixteenth Street Baptist Church";"";29;"Birmingham, AL"
188;"Vanderbilt University";"";18;"Nashville, TN"
189;"St. John's Baptist Church";"";29;"Birmingham, AL"
190;"Abyssinian Baptist Church";"";2;"New York City, NY"
191;"American University";"";13;"Washington, D.C."
192;"Christ Church Bay Ridge";"";2;"New York City, NY"
193;"Rudolph Wilde Platz";"";31;"Berlin, Germany"
194;"United Church of Christ";"";201;"Rutland, VT"
195;"16th Street Baptist Church";"";29;"Birmingham, AL"
196;"Mormon Tabernacle";"";38;"Salt Lake City, UT"
197;"King Solomon Baptist Church";"";72;"Detroit, MI"
198;"Fort Worth Chamber of Commerce";"";202;"Fort Worth, TX"
199;"Center for the Study of Democratic Institutio";"";178;"Santa Barbara, CA"
200;"Cory Methodist Church";"";14;"Cleveland, OH"
201;"Acworth Presbyterian Church";"";205;"Acworth, GA"
202;"University of Ghana";"";207;"Accra, Ghana"
203;"Cow Palace";"";209;"Daly City, CA"
204;"Negro Baptist School";"";211;"Indianola, MS"
205;"Hotel Theresa";"";2;"New York City, NY"
