"gat_ID";"gat";"gat_date";"gat_date_end";"loc_ID";"loc";"sit_ID";"site";"org_ID";"organizers";"org_spon_ID";"sponsors";"speeches"
18;"American Convention for Promoting the Aboliti";"1818-12-11";"";16;"Philadelphia, PA";0;"";0;"";0;"";1
19;"American Studies Conference";"1967-02-25";"";20;"Lincoln University, PA";5;"Lincoln University";0;"";15;"Lincoln University";1
20;"An international conference of writers and ar";"1934-07-00";"";21;"Paris, France";0;"";0;"";0;"";1
21;"Anniverary of the Founding of the Republic of";"1846-01-07";"";22;"Monrovia, Liberia";0;"";0;"";0;"";1
22;"Anniversary of 13th Amendment";"1887-12-04";"";23;"Selma, AL";0;"";0;"";0;"";1
23;"Anniversary of the American Anti-Slavery Soci";"1860-05-00";"";2;"New York City, NY";0;"";16;"American Anti-Slavery Society";0;"";1
24;"Annual Asian American Convocation";"1995-11-03";"";24;"Providence, RI";6;"Brown University";17;"Brown University";0;"";1
25;"Annual Award Presentation";"1956-09-23";"";25;"Ashland, VA";0;"";18;"Virginia Voters League";0;"";1
26;"Annual Conference";"1966-07-05";"";26;"Los Angeles, CA";0;"";19;"NAACP";0;"";1
27;"Annual Conference";"1997-07-13";"";17;"Pittsburgh, PA";0;"";19;"NAACP";0;"";1
28;"Annual Convention";"1965-07-01";"";27;"Durham, NC";0;"";20;"CORE";0;"";1
29;"Annual Convention";"1967-07-00";"";28;"Boston, MA";0;"";9;"National Association for the Advancement of C";0;"";1
30;"Annual Convention";"1967-08-16";"";19;"Atlanta, GA";0;"";21;"Southern Christian Leadership Conference";0;"";1
31;"Annual Convention";"1970-06-19";"";2;"New York City, NY";0;"";9;"National Association For The Advancement of C";0;"";1
32;"Annual Convention of SCLC";"1962-09-27";"";29;"Birmingham, AL";0;"";21;"Southern Christian Leadership Conference";0;"";1
33;"Annual Meetign of the National Negro Congress";"1937-00-00";"";16;"Philadelphia, PA";0;"";22;"National Negro Congress";0;"";1
34;"Annual Meeting of the American Anti-Slavery S";"1863-05-12";"";2;"New York City, NY";0;"";16;"American Anti-Slavery Society";0;"";1
35;"Annual Meeting of the Fellowship of the Conce";"1961-11-16";"";1;"unknown";0;"";23;"Fellowship of the Concerned";0;"";1
36;"Anti-Webster Meeting";"1850-03-25";"";28;"Boston, MA";7;"Fanueil Hall";0;"";0;"";1
37;"Automobile Workers' Constitutional Convention";"1969-04-22";"";30;"Atlantic City, NJ";0;"";0;"";0;"";1
38;"Benefit for the Colored Orphan Asylum";"1841-02-26";"";2;"New York City, NY";8;"Stuyvesant Institute";0;"";24;"Stuyvesant Institute";1
39;"Black Hat Conference";"2013-07-31";"";12;"Las Vegas, NV";0;"";8;"Black Hat Briefings";0;"";1
40;"Bundestag Federal Convention";"0000-00-00";"";31;"Berlin, Germany";0;"";0;"";0;"";1
41;"Cambridge Union Society";"1965-02-00";"";32;"Cambridge, England";9;"Cambridge University";0;"";0;"";1
42;"Celebration of the Emancipation Proclamation";"1913-09-00";"";16;"Philadelphia, PA";0;"";0;"";0;"";1
43;"Centenary of Abraham Lincoln's Birth";"1909-02-12";"";1;"unknown";0;"";0;"";0;"";1
44;"Centenary of the birth of David Livingstone";"1913-03-07";"";20;"Lincoln University, PA";5;"Lincoln University";15;"Lincoln University";0;"";1
45;"Centennial Anniversary of the Pennsylvania So";"1875-04-14";"";16;"Philadelphia, PA";0;"";25;"Pennsylvania Society for Promoting the Abolit";0;"";1
46;"Central Florida Fair";"1972-02-21";"";33;"Orlando, FL";0;"";0;"";0;"";1
47;"Citizen's Celebration of the 100th Anniversar";"1905-12-11";"";28;"Boston, MA";11;"Faneuil Hall";26;"Boston Suffrage League";0;"";1
48;"Commencement";"1826-09-06";"";34;"Brunswich, ME";12;"Bowdoin College";27;"Bowdoin College";0;"";1
49;"Commencement";"1912-05-00";"";35;"Tuskegee, AL";13;"Tuskegee University";28;"Tuskegee University";0;"";1
50;"Commencement";"1913-05-29";"";35;"Tuskegee, AL";14;"Tuskegee Institute";29;"Tuskegee Institute";0;"";1
51;"Commencement";"1922-06-22";"";36;"Cambridge, MA";15;"Harvard University";30;"Harvard University";0;"";1
52;"Commencement";"1923-05-30";"";37;"Augusta, GA";16;"Paine College";31;"Paine College";0;"";1
53;"Commencement";"1960-08-26";"";38;"Salt Lake City, UT";17;"University of Utah";32;"University of Utah";0;"";1
54;"Commencement";"1961-02-04";"";39;"Iowa City, IA";18;"State University of Iowa";33;"State University of Iowa";0;"";1
55;"Commencement";"1966-05-29";"";13;"Washington, D.C.";19;"Howard University";34;"Howard University";0;"";1
56;"Commencement";"1994-05-14";"";13;"Washington, D.C.";19;"Howard University";34;"Howard University";0;"";1
57;"Commencement";"1998-06-14";"";40;"Stanford, CA";20;"Stanford University";35;"Stanford University";0;"";1
58;"Commencement";"2013-06-23";"";41;"North Tonawanda, NY";21;"North Tonawanda High School";0;"";0;"";1
59;"Conference for Equal Rights for Negroes in th";"1851-12-00";"";2;"New York City, NY";0;"";36;"New York Council of the Arts, Sciences and Pr";0;"";1
60;"conference of national officers, state office";"1916-04-09";"";13;"Washington, D.C.";3;"Cameron House";0;"";0;"";1
61;"Conference on Automation";"1960-06-02";"";36;"Cambridge, MA";15;"Harvard University";37;"Harvard School of Business Administration";0;"";1
62;"Constitutional Convention of Arkansas";"1868-01-00";"";42;"unknown, AR";0;"";0;"";0;"";1
63;"Constitutional Convention of South Carolina";"1868-00-00";"";43;"unknown, SC";0;"";0;"";0;"";1
64;"Convention of Christian Churches";"1958-10-19";"";44;"St. Louis, MO";0;"";38;"Disciples of Christ";0;"";1
65;"Convention of Colored Men";"1883-09-24";"";45;"Louisville, KY";0;"";0;"";0;"";1
66;"Convention of the Colored People";"1834-06-00";"";2;"New York City, NY";0;"";0;"";0;"";1
67;"Convention of the Middle States Association o";"1960-11-25";"";30;"Atlantic City, NJ";0;"";39;"Middle States Association of Colleges and Sec";0;"";1
68;"Cotton States and International Exposition";"1895-11-11";"";19;"Atlanta, GA";0;"";40;"Negro Congress";0;"";1
69;"Dedication of the Lincoln Monument";"1922-05-30";"";13;"Washington, D.C.";22;"Lincoln Monument";0;"";0;"";1
70;"Democratic National Convention";"1896-07-09";"";10;"Chicago, IL";0;"";0;"";0;"";1
71;"Democratic National Convention";"1948-07-14";"";16;"Philadelphia, PA";23;"Convention Hall";0;"";0;"";1
72;"Democratic National Convention";"1948-07-15";"";16;"Philadelphia, PA";23;"Convention Hall";0;"";0;"";1
73;"Democratic National Convention";"1952-07-26";"";10;"Chicago, IL";0;"";0;"";0;"";1
74;"Democratic National Convention";"1956-08-17";"";10;"Chicago, IL";0;"";0;"";0;"";1
75;"Democratic National Convention";"1960-07-13";"";26;"Los Angeles, CA";24;"Los Angeles Memorial Colliseum";0;"";0;"";1
76;"Democratic National Convention";"1960-07-15";"";26;"Los Angeles, CA";24;"Los Angeles Memorial Colliseum";0;"";0;"";1
77;"Democratic National Convention";"1964-08-22";"";30;"Atlantic City, NJ";0;"";0;"";0;"";1
78;"Democratic National Convention";"1964-08-27";"";46;"Alantic City, NJ";0;"";0;"";0;"";1
79;"Democratic National Convention";"1968-08-28";"";10;"Chicago, IL";0;"";0;"";0;"";1
80;"Democratic National Convention";"1968-08-29";"";10;"Chicago, IL";0;"";0;"";0;"";1
81;"Democratic National Convention";"1976-07-12";"";2;"New York City, NY";25;"Madison Square Garden";0;"";0;"";1
82;"Democratic National Convention";"1976-07-14";"";2;"New York City, NY";25;"Madison Square Garden";0;"";0;"";1
83;"Democratic National Convention";"1976-07-15";"";2;"New York City, NY";25;"Madison Square Garden";0;"";0;"";1
84;"Democratic National Convention";"1980-08-12";"";2;"New York City, NY";0;"";0;"";0;"";1
85;"Democratic National Convention";"1984-07-16";"";4;"San Francisco, CA";26;"Moscone Center";0;"";0;"";1
86;"Democratic National Convention";"1984-07-18";"";4;"San Francisco, CA";26;"Moscone Center";0;"";0;"";1
87;"Democratic National Convention";"1984-07-19";"";4;"San Francisco, CA";26;"Moscone Center";0;"";0;"";1
88;"Democratic National Convention";"1988-07-19";"";19;"Atlanta, GA";0;"";0;"";0;"";1
89;"Democratic National Convention";"1992-07-13";"";2;"New York City, NY";0;"";0;"";0;"";1
90;"Democratic National Convention";"1992-07-14";"";2;"New York City, NY";0;"";0;"";0;"";1
91;"Democratic National Convention";"1992-07-16";"";2;"New York City, NY";0;"";0;"";0;"";1
92;"Democratic National Convention";"1996-08-26";"";10;"Chicago, IL";0;"";0;"";0;"";1
93;"Democratic National Convention";"1996-08-27";"";10;"Chicago, IL";0;"";0;"";0;"";1
94;"Democratic National Convention";"1996-08-28";"";10;"Chicago, IL";0;"";0;"";0;"";1
