"org_ID";"org";"org_type";"founded";"ended";"end_type"
639;"African National Congress";"";"";"";""
640;"Prime Minister of Great Britain";"";"";"";""
641;"Member of Parliament";"";"";"";""
642;"Governor of Arkansas";"";"";"";""
643;"First Lieutenant Governor of Louisiana";"";"";"";""
644;"CA State Legislator";"";"";"";""
645;"U.S. Representative (CO)";"";"";"";""
646;"Concord Church";"";"";"";""
647;"Colored High School";"";"";"";""
648;"Prime Minister of Canada";"";"";"";""
649;"Pope of the Catholic Church";"";"";"";""
650;"Queen of England";"";"";"";""
651;"National Council of La Raza";"";"";"";""
652;"Mayor of Gary, IN";"";"";"";""
653;"U.S. Senator (CA)";"";"";"";""
654;"U.S. Senator (HI)";"";"";"";""
655;"U.S. Senator (GA)";"";"";"";""
656;"U.S. Senator (WV)";"";"";"";""
657;"Southwestern Christian Advocate";"";"";"";""
658;"Tennessee State Legislator";"";"";"";""
659;"Manhattan Project";"";"";"";""
660;"Hampton Institute";"";"";"";""
661;"Chicago Defender";"";"";"";""
662;"Fairleigh Dickinson University";"";"";"";""
663;"President of the Philippines";"";"";"";""
664;"Crisis";"";"";"";""
665;"United States Mission to the United Nations";"";"";"";""
666;"U.S. Senator (AL)";"";"";"";""
667;"Lowndes County Freedom Organization";"";"";"";""
668;"New York Age";"";"";"";""
669;"14th Dalai Lama of Tibet";"";"";"";""
670;"First Presbyterian Church in New York";"";"";"";""
671;"Prime Minister of the United Kingdom";"";"";"";""
672;"U.S. Senator (OH)";"";"";"";""
673;"SC Legislator";"";"";"";""
674;"Circuit Court, Fourteenth Judicial Circuit of";"";"";"";""
675;"NAACP Legal Defense and Educational Fund";"";"";"";""
676;"Centers for Disease Control and Prevention (C";"";"";"";""
677;"President of Czechoslovakia";"";"";"";""
678;"National Gay and Lesbian Task Force";"";"";"";""
679;"Bolshevik Party";"";"";"";""
680;"Foreign Minister of the USSR";"";"";"";""
681;"Baltimore Bar";"";"";"";""
682;"National Urban League";"";"";"";""
683;"State College for Colored Students";"";"";"";""
684;"Iowa State Teachers College";"";"";"";""
685;"Assistant Attorney General of the US";"";"";"";""
686;"Liberator";"";"";"";""
687;"Boston Guardian";"";"";"";""
688;"U.S. Senator (MD)";"";"";"";""
689;"Green Party";"";"";"";""
690;"U.S. Senator (NC)";"";"";"";""
