"per_ID";"person";"loc_born_ID";"loc_born";"date_born";"date_died";"race";"gender";"disability"
338;"Joachim Gauck";0;"";"";"";"";"";""
339;"James Baldwin";0;"";"";"";"";"";""
340;"William F. Buckley";0;"";"";"";"";"";""
341;"James L. Curtis";0;"";"";"";"";"";""
342;"Alice Moore Dunbar";0;"";"";"";"";"";""
343;"Reverdy C. Ransom";0;"";"";"";"";"";""
344;"Mordecai Wyatt Johnson";0;"";"";"";"";"";""
345;"R.A. Carter";0;"";"";"";"";"";""
346;"Colin Powell";0;"";"";"";"";"";""
347;"Ted Koppel";0;"";"";"";"";"";""
348;"Paul Robeson";0;"";"";"";"";"";""
349;"Alice Paul";0;"";"";"";"";"";""
350;"William H. Gray";0;"";"";"";"";"";""
351;"Francis L. Cardozo";0;"";"";"";"";"";""
352;"J. Irwin Miller";0;"";"";"";"";"";""
353;"William Hamilton";0;"";"";"";"";"";""
354;"William Jennings Bryan";0;"";"";"";"";"";""
355;"Abraham Ribicoff";0;"";"";"";"";"";""
356;"Paul Newman";0;"";"";"";"";"";""
357;"Ralph Bellamy";0;"";"";"";"";"";""
358;"Daniel Inouye";0;"";"";"";"";"";""
359;"Cesar E. Chavez";0;"";"";"";"";"";""
361;"Mario Cuomo";0;"";"";"";"";"";""
362;"Geraldine Ferraro";0;"";"";"";"";"";""
363;"Ann Richards";0;"";"";"";"";"";""
364;"Elizabeth Glaser";0;"";"";"";"";"";""
365;"Christopher Reeve";0;"";"";"";"";"";""
366;"Ilana Wexler";0;"";"";"";"";"";""
367;"Al Sharpton";0;"";"";"";"";"";""
368;"Alexandra Kerry";0;"";"";"";"";"";""
369;"John Kerry";0;"";"";"";"";"";""
370;"Edward (Ted) M. Kennedy";0;"";"";"";"";"";""
371;"Ted Kennedy";0;"";"";"";"";"";""
372;"Joe Biden";0;"";"";"";"";"";""
373;"James Wheldon Johnson";0;"";"";"";"";"";""
374;"J.W. Longuen";0;"";"";"";"";"";""
375;"Ernest Lyon";0;"";"";"";"";"";""
376;"Sojourner Truth";0;"";"";"";"";"";""
377;"Betty Friedan";0;"";"";"";"";"";""
378;"Willis D. Weatherford";0;"";"";"";"";"";""
379;"J. Stanley";0;"";"";"";"";"";""
380;"William Whipper";0;"";"";"";"";"";""
381;"Paul Harvey";0;"";"";"";"";"";""
382;"Gustavo Madrigal-Piña";0;"";"";"";"";"";""
383;"Lillian Wald";0;"";"";"";"";"";""
384;"Emily Greene Balch";0;"";"";"";"";"";""
385;"Steve Jobs";0;"";"";"";"";"";""
386;"Navi Pillay";0;"";"";"";"";"";""
387;"D. Webster Davis";0;"";"";"";"";"";""
388;"Margaret Sanger";0;"";"";"";"";"";""
389;"John Henrik Clarke";0;"";"";"";"";"";""
390;"Ken Burns";0;"";"";"";"";"";""
391;"Benjamin J. Davis";0;"";"";"";"";"";""
392;"Robert T. Moton";0;"";"";"";"";"";""
393;"Roy Benavidez";0;"";"";"";"";"";""
394;"Frank Abagnale";0;"";"";"";"";"";""
395;"James Forman";0;"";"";"";"";"";""
396;"Susan Rahr";0;"";"";"";"";"";""
397;"Samuel H. Davis";0;"";"";"";"";"";""
398;"Angelina Grimké Weld";0;"";"";"";"";"";""
399;"Ernestine Rose";0;"";"";"";"";"";""
400;"W.E.B. DuBois";0;"";"";"";"";"";""
401;"William L. Bulkley";0;"";"";"";"";"";""
402;"Ida B. Wells";0;"";"";"";"";"";""
403;"Bono";0;"";"";"";"";"";""
404;"Mother Teresa";0;"";"";"";"";"";""
405;"Lucy Stone";0;"";"";"";"";"";""
406;"Charles Lenox Remond";0;"";"";"";"";"";""
407;"D.P. Brown";0;"";"";"";"";"";""
408;"Phyllis Lyon";0;"";"";"";"";"";""
409;"Billy Graham";0;"";"";"";"";"";""
410;"Mary E. Lease";0;"";"";"";"";"";""
411;"Edward R. Murrow";0;"";"";"";"";"";""
412;"Jon Stewart";0;"";"";"";"";"";""
413;"George T. Downing";0;"";"";"";"";"";""
414;"John McCain";0;"";"";"";"";"";""
415;"Albert Beveridge";0;"";"";"";"";"";""
416;"Everett M. Dirksen";0;"";"";"";"";"";""
417;"Patrick Buchanan";0;"";"";"";"";"";""
418;"Mary Fisher";0;"";"";"";"";"";""
419;"J.C. Watts, Jr";0;"";"";"";"";"";""
420;"Rudy Giuliani";0;"";"";"";"";"";""
421;"Zainab Al-Suwaij";0;"";"";"";"";"";""
422;"Arnold Schwarzenegger";0;"";"";"";"";"";""
423;"Laura Bush";0;"";"";"";"";"";""
424;"Dick Cheney";0;"";"";"";"";"";""
425;"Zell Miller";0;"";"";"";"";"";""
426;"Joe Lieberman";0;"";"";"";"";"";""
427;"Mike Huckabee";0;"";"";"";"";"";""
428;"Sarah Palin";0;"";"";"";"";"";""
429;"Condoleezza Rice";0;"";"";"";"";"";""
430;"Paul Ryan";0;"";"";"";"";"";""
431;"Glenn Beck";0;"";"";"";"";"";""
432;"Robert Mueller";0;"";"";"";"";"";""
433;"Emmett J. Scott";0;"";"";"";"";"";""
434;"James MAdison Vance";0;"";"";"";"";"";""
435;"Charles W. Anderson";0;"";"";"";"";"";""
436;"B.K. Sampson";0;"";"";"";"";"";""
437;"Frances Willard";0;"";"";"";"";"";""
438;"John O. Killens";0;"";"";"";"";"";""
439;"Lorraine Hansberry";0;"";"";"";"";"";""
440;"Tony Blair";0;"";"";"";"";"";""
441;"Carrie Chapman Catt";0;"";"";"";"";"";""
442;"Leonard DiCaprio";0;"";"";"";"";"";""
443;"Severn Suzuki";0;"";"";"";"";"";""
444;"Booker T. Washington";0;"";"";"";"";"";""
445;"Cindy Sheehan";0;"";"";"";"";"";""
446;"Mario Savio";0;"";"";"";"";"";""
447;"John S. Rock";0;"";"";"";"";"";""
448;"Neil Gaiman";0;"";"";"";"";"";""
449;"Gorgias of Leontini";0;"";"";"";"";"";""
450;"Pericles";0;"";"";"";"";"";""
451;"Socrates";0;"";"";"";"";"";""
452;"Jesus";0;"";"";"";"";"";""
453;"Saint Francis of Assisi";0;"";"";"";"";"";""
454;"Chief Powhatan";0;"";"";"";"";"";""
455;"John Dunne";0;"";"";"";"";"";""
456;"Anne Hutchinson";0;"";"";"";"";"";""
457;"Jonathan Edwards";0;"";"";"";"";"";""
458;"Charles Chauncy";0;"";"";"";"";"";""
459;"Jeffrey";0;"";"";"";"";"";""
460;"Chief Logan";0;"";"";"";"";"";""
461;"Edmund Burke";0;"";"";"";"";"";""
462;"Patrick Henry";0;"";"";"";"";"";""
463;"George Washington";0;"";"";"";"";"";""
464;"Benjamin Franklin";0;"";"";"";"";"";""
465;"unknown";0;"";"";"";"";"";""
466;"Abraham Johnstone";0;"";"";"";"";"";""
467;"Henry Lee";0;"";"";"";"";"";""
468;"Nathanael Emmons";0;"";"";"";"";"";""
469;"Deborah Sampson";0;"";"";"";"";"";""
470;"""Othello""""""";0;"";"";"";"";"";""
471;"James Forten";0;"";"";"";"";"";""
472;"Edward D. Griffin";0;"";"";"";"";"";""
473;"Hon. Henry Clay";0;"";"";"";"";"";""
474;"Aaron Bancroft";0;"";"";"";"";"";""
475;"Frances Wright";0;"";"";"";"";"";""
476;"Peter Osbourne";0;"";"";"";"";"";""
477;"Maria W. Miller Stewart";0;"";"";"";"";"";""
478;"Maria W. Stewart";0;"";"";"";"";"";""
479;"Charles Grandison Finney";0;"";"";"";"";"";""
480;"William Apess";0;"";"";"";"";"";""
481;"Stephen F. Austin";0;"";"";"";"";"";""
482;"Theodore Dwight Weld";0;"";"";"";"";"";""
483;"Henry Brewster Stanton";0;"";"";"";"";"";""
484;"Sara T. Smith";0;"";"";"";"";"";""
485;"Horace Mann";0;"";"";"";"";"";""
486;"Theodore Parker";0;"";"";"";"";"";""
487;"George Junkin";0;"";"";"";"";"";""
488;"Dorothea Dix";0;"";"";"";"";"";""
489;"William Wells Brown";0;"";"";"";"";"";""
490;"Stephen Douglas";0;"";"";"";"";"";""
491;"James H. Thornwell";0;"";"";"";"";"";""
492;"Wendell Phillips";0;"";"";"";"";"";""
493;"William J. Watkins";0;"";"";"";"";"";""
494;"James T. Holly";0;"";"";"";"";"";""
495;"William Cooper Nell";0;"";"";"";"";"";""
496;"James Theodore Holly";0;"";"";"";"";"";""
497;"Charles H. Langston";0;"";"";"";"";"";""
498;"John Brown";0;"";"";"";"";"";""
499;"H. Ford Douglass";0;"";"";"";"";"";""
500;"William Yowndes Yancey";0;"";"";"";"";"";""
501;"Susan B. Anthony";0;"";"";"";"";"";""
502;"Alexander H. Stephens";0;"";"";"";"";"";""
503;"Alfred M. Green";0;"";"";"";"";"";""
504;"James D. Liggett";0;"";"";"";"";"";""
505;"Henry Allen Tupper";0;"";"";"";"";"";""
506;"James W.C. Pennington";0;"";"";"";"";"";""
507;"Edward Everett";0;"";"";"";"";"";""
508;"Arnold Bertonneau";0;"";"";"";"";"";""
509;"Andrew Johnson";0;"";"";"";"";"";""
510;"Robert E. Lee";0;"";"";"";"";"";""
511;"B.F. Barrett";0;"";"";"";"";"";""
512;"E.J. Adams";0;"";"";"";"";"";""
513;"Henry McNeal Turner";0;"";"";"";"";"";""
514;"John Willis Menard";0;"";"";"";"";"";""
515;"Victoria Woodhull";0;"";"";"";"";"";""
516;"William Still";0;"";"";"";"";"";""
517;"Alexandre Dumas, Fils";0;"";"";"";"";"";""
518;"Dwight L. Moody";0;"";"";"";"";"";""
519;"John E. Bruce";0;"";"";"";"";"";""
520;"L.T. Chamberlain";0;"";"";"";"";"";""
521;"Richard T. Greener";0;"";"";"";"";"";""
522;"Susette LaFlesche";0;"";"";"";"";"";""
523;"P.B.S. Pinchback";0;"";"";"";"";"";""
524;"Alexander Crummell";0;"";"";"";"";"";""
525;"Henry George";0;"";"";"";"";"";""
