"spe_ID";"spe_type";"spe_desc";"spe_subj";"spe_date";"per_ID";"person";"per_sec_ID";"person_sec";"loc_ID";"loc";"sit_ID";"site";"gat_ID";"gat";"org_spon_ID";"sponsor";"org_ID";"org_to";"public";"press";"radio";"tv";"video";"text";"source_list"
162;"speech";"Address to the Iroquois Nation";"";"1805-00-00";136;"Chief Red Jacket";0;"";59;"Buffalo Grove, NY";0;"";129;"Gathering of White Missionaries and Iroquois ";0;"";0;"";0;0;0;0;"";"";"http://www.americanrhetoric.com/speeches/nati"
163;"speech";"Gay Freedom Day Speech";"";"1978-06-25";10;"Harvey Milk";0;"";4;"San Francisco, CA";32;"City Hall";130;"Gay Freedom Day Parade";0;"";0;"";0;0;0;0;"";"";"http://www.jstor.org/stable/10.1525/j.ctt24hs"
164;"speech";"Take Destiny into Your Own Hands";"Gay Rights, Stonewall Riots";"1977-06-26";137;"Karla Jay";0;"";2;"New York City, NY";0;"";131;"Gay Pride Rally";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books?id=KdoaEQoc284"
165;"speech";"Undocumented and Unafraid";"Immigration, Undocumented";"2011-08-22";138;"Gustavo Madrigal-Piña";0;"";60;"Athens, GA";42;"University of Georgia";132;"Graduation of Resistance";50;"Georgia Undocumented Youth Alliance";0;"";1;0;0;0;"";"";"https://books.google.com/books?id=ox91llFB5j4"
166;"speech";"A House Divided";"";"1858-06-16";139;"Abraham Lincoln";0;"";61;"Springfield, IL";0;"";133;"Illinois Republican State Convention";0;"";0;"";0;0;0;0;"";"";"http://voicesofdemocracy.umd.edu/abraham-linc"
167;"speech";"We Ask An Equal Chance In The Race of Life";"";"1868-07-31";140;"Oscar J. Dunn";0;"";62;"Baton Rouge, LA";43;"Louisiana State Capitol";134;"Inauguration as First Lieutenant Governor of ";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
168;"speech";"The Nurses' Settlement in New York";"Nurses";"1901-00-00";141;"Lillian Wald";0;"";63;"Buffalo, NY";0;"";135;"International Congress of Nurses";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/Outspoke"
169;"speech";"The Time to Make Peace";"";"1915-04-00";142;"Emily Greene Balch";0;"";64;"The Hague, Netherlands";0;"";136;"International Congress of Women";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/Outspoke"
170;"speech";"We Are Mostly Subject Peoples All Over The Wo";"";"1935-08-00";143;"Marcus Garvey";0;"";65;"St. Andrew, Jamaica";0;"";137;"International Convention of the Negro Peoples";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
171;"speech";"International Design Conference (1983) Speech";"";"1983-00-00";144;"Steve Jobs";0;"";66;"Aspen, CO";0;"";138;"International Design Conference";0;"";0;"";0;0;0;0;"";"";"http://www.theverge.com/2012/10/3/3448452/ste"
172;"speech";"2011 International Human Rights Day Statement";"";"2011-12-10";145;"Navi Pillay";0;"";2;"New York City, NY";0;"";139;"International Human Rights Day";0;"";0;"";0;0;0;0;"";"";"http://www.americanrhetoric.com/speeches/navi"
173;"speech";"The Sunday-School and Church as a Solution of";"";"1905-06-27";146;"D. Webster Davis";0;"";8;"Toronto, Canada";44;"Massey Hall";140;"International Interdemoninational Sunday-scho";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books?id=ojIA-vJtV_s"
